zip,borough,pop_total,median_income,license_count,noise_count,noise_per_1000,licenses_per_1000
10301,Staten Island,39799.0,84937.0,10,2593,65.15239076358704,0.2512625945375512
10302,Staten Island,19693.0,76089.0,10,737,37.42446554613314,0.5077946478444116
10303,Staten Island,25993.0,79429.0,3,1011,38.89508713884508,0.1154156888393029
10304,Staten Island,45843.0,71506.0,6,2259,49.27687978535436,0.1308814868136902
10305,Staten Island,41714.0,86294.0,24,1435,34.40092055425037,0.5753464064822362
10306,Staten Island,57249.0,97746.0,21,2348,41.01381683522856,0.3668186343866268
10307,Staten Island,14821.0,138807.0,7,1093,73.7467107482626,0.47230281357533227
10308,Staten Island,29996.0,122654.0,12,606,20.202693692492332,0.4000533404453927
10309,Staten Island,,,12,879,,
10310,Staten Island,25824.0,106118.0,4,930,36.013011152416354,0.15489467162329615
10312,Staten Island,63345.0,111434.0,7,1103,17.412581892809218,0.11050595942852631
10314,Staten Island,93539.0,104655.0,18,2752,29.420883267941715,0.1924331027699676
11201,Brooklyn,69251.0,169285.0,0,8926,128.89344558201327,0.0
11203,Brooklyn,76853.0,68028.0,0,5033,65.48866016941433,0.0
11204,Brooklyn,81368.0,67588.0,0,2114,25.98072952512044,0.0
11205,Brooklyn,50205.0,86753.0,0,3440,68.51907180559705,0.0
11206,Brooklyn,89231.0,57280.0,0,9878,110.70143784110903,0.0
11207,Brooklyn,93445.0,55419.0,0,7963,85.21590240248274,0.0
11208,Brooklyn,106901.0,59988.0,0,6719,62.85254581341615,0.0
11209,Brooklyn,70756.0,92656.0,0,3668,51.8401266323704,0.0
11210,Brooklyn,60398.0,83261.0,0,3404,56.35948210205636,0.0
11211,Brooklyn,65691.0,105183.0,0,8835,134.493309585788,0.0
11212,Brooklyn,87946.0,40060.0,0,8384,95.33122597957838,0.0
11213,Brooklyn,69630.0,62040.0,0,5946,85.39422662645411,0.0
11214,Brooklyn,88994.0,64286.0,0,4844,54.43063577319819,0.0
11215,Brooklyn,70922.0,180773.0,0,2989,42.14489157102169,0.0
11216,Brooklyn,59913.0,95000.0,0,6343,105.87017842538347,0.0
11217,Brooklyn,42569.0,158314.0,0,5312,124.78564213394725,0.0
11218,Brooklyn,71313.0,95916.0,0,3228,45.26523915695596,0.0
11219,Brooklyn,94737.0,55685.0,0,1884,19.88663352227746,0.0
11220,Brooklyn,90792.0,64201.0,0,4284,47.184773988897696,0.0
11221,Brooklyn,90750.0,85122.0,0,10188,112.26446280991735,0.0
11222,Brooklyn,41418.0,123963.0,0,4579,110.55579699647495,0.0
11223,Brooklyn,78566.0,63950.0,0,4011,51.052618180892495,0.0
11224,Brooklyn,48469.0,41449.0,0,3451,71.20014854855681,0.0
11225,Brooklyn,56544.0,85201.0,0,7383,130.57088285229202,0.0
11226,Brooklyn,100022.0,81084.0,0,11288,112.85517186219032,0.0
11228,Brooklyn,42325.0,80737.0,0,883,20.86237448316598,0.0
11229,Brooklyn,79802.0,72556.0,0,5283,66.2013483371344,0.0
11230,Brooklyn,88252.0,69522.0,0,3722,42.17468159361828,0.0
11231,Brooklyn,39704.0,138485.0,0,2795,70.39592988112028,0.0
11232,Brooklyn,26681.0,87517.0,0,2981,111.72744649750759,0.0
11233,Brooklyn,82711.0,62034.0,0,6680,80.76313912297034,0.0
11234,Brooklyn,87778.0,94434.0,0,3895,44.373305384037,0.0
11235,Brooklyn,81958.0,61689.0,0,3567,43.52229190561019,0.0
11236,Brooklyn,95174.0,82813.0,0,4308,45.264462983587954,0.0
11237,Brooklyn,45233.0,82570.0,0,8515,188.24751840470452,0.0
11238,Brooklyn,58462.0,132957.0,0,6961,119.06879682528822,0.0
11239,Brooklyn,16047.0,35675.0,0,1630,101.5766186826198,0.0
11241,Brooklyn,,,0,1,,
11249,Brooklyn,45353.0,121400.0,0,4921,108.50439882697947,0.0
